GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FIT5171_20T3_11,rockets.mining,RocketMiner,2,401,1,23,1,60,2,21,1,10
FIT5171_20T3_11,rockets.web,App,417,351,21,7,82,105,23,25,10,24
FIT5171_20T3_11,rockets.dataaccess.neo4j,Neo4jDAO,15,335,4,22,5,71,5,19,1,10
FIT5171_20T3_11,rockets.model,Launch.LaunchOutcome,0,24,0,0,0,2,0,1,0,1
FIT5171_20T3_11,rockets.model,LaunchServiceProvider,2,208,2,20,0,38,2,21,0,12
FIT5171_20T3_11,rockets.model,Launch,51,88,13,1,10,27,10,19,3,19
FIT5171_20T3_11,rockets.model,User,39,84,2,4,3,22,5,11,3,10
FIT5171_20T3_11,rockets.model,Payload,17,108,6,12,5,21,9,7,3,4
FIT5171_20T3_11,rockets.model,Entity,0,17,0,0,0,8,0,5,0,5
FIT5171_20T3_11,rockets.model,Rocket,27,231,8,10,12,38,11,18,3,17
FIT5171_20T3_11,rockets.util,outcome,43,66,2,2,11,14,7,4,5,4
FIT5171_20T3_11,rockets.util,MapSortUtil,84,39,14,2,21,13,16,4,8,4
FIT5171_20T3_11,rockets.util,CountryIsValid,57,0,4,0,12,0,4,0,2,0
